"Notes"	"Census Region"	"Census Region Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2020 "	"2020"	"Female"	"F"	Suppressed	291595	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"< 1 year"	"1"	"2020 "	"2020"	"Male"	"M"	Suppressed	305056	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2011"	"2011"	"Female"	"F"	Suppressed	1254687	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2011"	"2011"	"Male"	"M"	Suppressed	1310814	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2012"	"2012"	"Female"	"F"	Suppressed	1251615	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2012"	"2012"	"Male"	"M"	Suppressed	1308771	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2013"	"2013"	"Female"	"F"	Suppressed	1249292	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2013"	"2013"	"Male"	"M"	Suppressed	1306333	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2014"	"2014"	"Female"	"F"	Suppressed	1254180	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2014"	"2014"	"Male"	"M"	Suppressed	1310052	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2015"	"2015"	"Female"	"F"	Suppressed	1252678	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2015"	"2015"	"Male"	"M"	Suppressed	1309429	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2016"	"2016"	"Female"	"F"	Suppressed	1236251	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2016"	"2016"	"Male"	"M"	Suppressed	1291577	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2017"	"2017"	"Female"	"F"	Suppressed	1235790	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2017"	"2017"	"Male"	"M"	Suppressed	1293407	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2018"	"2018"	"Female"	"F"	Suppressed	1224428	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2018"	"2018"	"Male"	"M"	Suppressed	1282922	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2019"	"2019"	"Female"	"F"	Suppressed	1213760	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2019"	"2019"	"Male"	"M"	Suppressed	1271948	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2020 "	"2020"	"Female"	"F"	Suppressed	1199288	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"1-4 years"	"1-4"	"2020 "	"2020"	"Male"	"M"	Suppressed	1255336	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2011"	"2011"	"Female"	"F"	Suppressed	3310705	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2011"	"2011"	"Male"	"M"	Suppressed	3461452	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2012"	"2012"	"Female"	"F"	Suppressed	3294916	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2012"	"2012"	"Male"	"M"	Suppressed	3446167	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2013"	"2013"	"Female"	"F"	Suppressed	3273297	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2013"	"2013"	"Male"	"M"	10	3423665	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2014"	"2014"	"Female"	"F"	Suppressed	3249211	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2014"	"2014"	"Male"	"M"	Suppressed	3396369	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2015"	"2015"	"Female"	"F"	Suppressed	3222045	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2015"	"2015"	"Male"	"M"	Suppressed	3365058	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2016"	"2016"	"Female"	"F"	Suppressed	3205510	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2016"	"2016"	"Male"	"M"	Suppressed	3348780	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2017"	"2017"	"Female"	"F"	Suppressed	3187158	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2017"	"2017"	"Male"	"M"	Suppressed	3328472	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2018"	"2018"	"Female"	"F"	Suppressed	3153952	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2018"	"2018"	"Male"	"M"	Suppressed	3294326	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2019"	"2019"	"Female"	"F"	Suppressed	3128696	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2019"	"2019"	"Male"	"M"	Suppressed	3270115	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2020 "	"2020"	"Female"	"F"	Suppressed	3111806	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"5-14 years"	"5-14"	"2020 "	"2020"	"Male"	"M"	Suppressed	3253485	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2011"	"2011"	"Female"	"F"	Suppressed	3765012	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2011"	"2011"	"Male"	"M"	Suppressed	3911652	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2012"	"2012"	"Female"	"F"	Suppressed	3763286	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2012"	"2012"	"Male"	"M"	Suppressed	3906199	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2013"	"2013"	"Female"	"F"	Suppressed	3739687	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2013"	"2013"	"Male"	"M"	Suppressed	3873196	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2014"	"2014"	"Female"	"F"	Suppressed	3735762	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2014"	"2014"	"Male"	"M"	Suppressed	3858041	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2015"	"2015"	"Female"	"F"	Suppressed	3709484	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2015"	"2015"	"Male"	"M"	Suppressed	3822993	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2016"	"2016"	"Female"	"F"	Suppressed	3671743	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2016"	"2016"	"Male"	"M"	Suppressed	3788807	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2017"	"2017"	"Female"	"F"	Suppressed	3638965	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2017"	"2017"	"Male"	"M"	Suppressed	3746170	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2018"	"2018"	"Female"	"F"	Suppressed	3564988	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2018"	"2018"	"Male"	"M"	Suppressed	3658077	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2019"	"2019"	"Female"	"F"	Suppressed	3512974	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2019"	"2019"	"Male"	"M"	Suppressed	3600276	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2020 "	"2020"	"Female"	"F"	Suppressed	3466175	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"2020 "	"2020"	"Male"	"M"	Suppressed	3548569	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2011"	"2011"	"Female"	"F"	Suppressed	3601821	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2011"	"2011"	"Male"	"M"	Suppressed	3571610	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2012"	"2012"	"Female"	"F"	Suppressed	3654985	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2012"	"2012"	"Male"	"M"	Suppressed	3638462	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2013"	"2013"	"Female"	"F"	Suppressed	3706938	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2013"	"2013"	"Male"	"M"	Suppressed	3710638	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2014"	"2014"	"Female"	"F"	Suppressed	3754674	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2014"	"2014"	"Male"	"M"	Suppressed	3770291	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2015"	"2015"	"Female"	"F"	Suppressed	3787526	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2015"	"2015"	"Male"	"M"	Suppressed	3819767	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2016"	"2016"	"Female"	"F"	Suppressed	3800746	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2016"	"2016"	"Male"	"M"	Suppressed	3857566	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2017"	"2017"	"Female"	"F"	Suppressed	3843275	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2017"	"2017"	"Male"	"M"	Suppressed	3911393	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2018"	"2018"	"Female"	"F"	Suppressed	3821266	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2018"	"2018"	"Male"	"M"	Suppressed	3902512	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2019"	"2019"	"Female"	"F"	Suppressed	3820958	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2019"	"2019"	"Male"	"M"	12	3908835	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2020 "	"2020"	"Female"	"F"	10	3807804	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"2020 "	"2020"	"Male"	"M"	13	3900549	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2011"	"2011"	"Female"	"F"	Suppressed	3675513	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2011"	"2011"	"Male"	"M"	Suppressed	3553299	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2012"	"2012"	"Female"	"F"	Suppressed	3622836	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2012"	"2012"	"Male"	"M"	Suppressed	3509724	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2013"	"2013"	"Female"	"F"	Suppressed	3570783	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2013"	"2013"	"Male"	"M"	Suppressed	3469969	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2014"	"2014"	"Female"	"F"	16	3542518	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2014"	"2014"	"Male"	"M"	17	3439790	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2015"	"2015"	"Female"	"F"	Suppressed	3512798	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2015"	"2015"	"Male"	"M"	Suppressed	3414112	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2016"	"2016"	"Female"	"F"	Suppressed	3461744	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2016"	"2016"	"Male"	"M"	23	3371597	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2017"	"2017"	"Female"	"F"	Suppressed	3468225	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2017"	"2017"	"Male"	"M"	Suppressed	3386488	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2018"	"2018"	"Female"	"F"	11	3453393	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2018"	"2018"	"Male"	"M"	11	3382148	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2019"	"2019"	"Female"	"F"	16	3463552	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2019"	"2019"	"Male"	"M"	29	3400532	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2020 "	"2020"	"Female"	"F"	10	3483659	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"2020 "	"2020"	"Male"	"M"	14	3429227	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2011"	"2011"	"Female"	"F"	12	4316393	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2011"	"2011"	"Male"	"M"	13	4118376	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2012"	"2012"	"Female"	"F"	Suppressed	4270197	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2012"	"2012"	"Male"	"M"	Suppressed	4074460	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2013"	"2013"	"Female"	"F"	Suppressed	4211811	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2013"	"2013"	"Male"	"M"	Suppressed	4018090	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2014"	"2014"	"Female"	"F"	32	4155773	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2014"	"2014"	"Male"	"M"	29	3965634	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2015"	"2015"	"Female"	"F"	12	4099174	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2015"	"2015"	"Male"	"M"	13	3913887	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2016"	"2016"	"Female"	"F"	26	4018247	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2016"	"2016"	"Male"	"M"	19	3829349	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2017"	"2017"	"Female"	"F"	13	3944282	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2017"	"2017"	"Male"	"M"	16	3757897	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2018"	"2018"	"Female"	"F"	37	3814710	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2018"	"2018"	"Male"	"M"	36	3636060	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2019"	"2019"	"Female"	"F"	35	3694050	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2019"	"2019"	"Male"	"M"	30	3524378	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2020 "	"2020"	"Female"	"F"	19	3593268	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"45-54 years"	"45-54"	"2020 "	"2020"	"Male"	"M"	44	3432285	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2011"	"2011"	"Female"	"F"	12	3683065	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2011"	"2011"	"Male"	"M"	18	3403214	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2012"	"2012"	"Female"	"F"	Suppressed	3724015	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2012"	"2012"	"Male"	"M"	Suppressed	3444402	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2013"	"2013"	"Female"	"F"	13	3789996	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2013"	"2013"	"Male"	"M"	25	3513148	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2014"	"2014"	"Female"	"F"	51	3857118	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2014"	"2014"	"Male"	"M"	62	3579635	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2015"	"2015"	"Female"	"F"	32	3923478	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2015"	"2015"	"Male"	"M"	21	3646026	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2016"	"2016"	"Female"	"F"	41	3964240	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2016"	"2016"	"Male"	"M"	68	3685121	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2017"	"2017"	"Female"	"F"	35	4009611	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2017"	"2017"	"Male"	"M"	34	3727307	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2018"	"2018"	"Female"	"F"	65	4012935	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2018"	"2018"	"Male"	"M"	76	3731937	2.0
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2019"	"2019"	"Female"	"F"	72	4017594	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2019"	"2019"	"Male"	"M"	78	3735601	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2020 "	"2020"	"Female"	"F"	63	4001060	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"55-64 years"	"55-64"	"2020 "	"2020"	"Male"	"M"	92	3721049	2.5
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2011"	"2011"	"Female"	"F"	13	2229610	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2011"	"2011"	"Male"	"M"	Suppressed	1881621	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2012"	"2012"	"Female"	"F"	10	2366943	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2012"	"2012"	"Male"	"M"	Suppressed	2011542	Suppressed
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2013"	"2013"	"Female"	"F"	36	2470911	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2013"	"2013"	"Male"	"M"	33	2113057	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2014"	"2014"	"Female"	"F"	39	2566600	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2014"	"2014"	"Male"	"M"	40	2198979	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2015"	"2015"	"Female"	"F"	63	2660995	2.4
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2015"	"2015"	"Male"	"M"	58	2287000	2.5
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2016"	"2016"	"Female"	"F"	41	2749041	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2016"	"2016"	"Male"	"M"	49	2366731	2.1
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2017"	"2017"	"Female"	"F"	54	2850396	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2017"	"2017"	"Male"	"M"	63	2462621	2.6
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2018"	"2018"	"Female"	"F"	106	2900579	3.7
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2018"	"2018"	"Male"	"M"	143	2512576	5.7
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2019"	"2019"	"Female"	"F"	93	2985291	3.1
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2019"	"2019"	"Male"	"M"	86	2590827	3.3
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2020 "	"2020"	"Female"	"F"	80	3077686	2.6
	"Census Region 1: Northeast"	"CENS-R1"	"65-74 years"	"65-74"	"2020 "	"2020"	"Male"	"M"	99	2675548	3.7
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2011"	"2011"	"Female"	"F"	22	1525575	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2011"	"2011"	"Male"	"M"	16	1063861	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2012"	"2012"	"Female"	"F"	12	1512261	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2012"	"2012"	"Male"	"M"	11	1063910	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2013"	"2013"	"Female"	"F"	75	1501941	5.0
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2013"	"2013"	"Male"	"M"	63	1067932	5.9
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2014"	"2014"	"Female"	"F"	55	1499107	3.7
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2014"	"2014"	"Male"	"M"	59	1076146	5.5
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2015"	"2015"	"Female"	"F"	141	1499351	9.4
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2015"	"2015"	"Male"	"M"	134	1085011	12.4
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2016"	"2016"	"Female"	"F"	52	1510534	3.4
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2016"	"2016"	"Male"	"M"	41	1100709	3.7
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2017"	"2017"	"Female"	"F"	103	1558813	6.6
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2017"	"2017"	"Male"	"M"	95	1142964	8.3
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2018"	"2018"	"Female"	"F"	221	1612356	13.7
